aspect,category,term,count,rank
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,the,25,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,punch,24,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,head,19,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,myself,19,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,wall,18,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,beat,13,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,in,12,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,hit,11,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting,on,9,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Head banging,against,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Head banging,bang,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Head banging,head,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Head banging,my,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Head banging,tree,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,hitt,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,wall,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,and,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,another,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,cry,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,hole,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,in,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,my,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,myself,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Hitting/Punching,punch,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Medical Refusal,med,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Medical Refusal,my,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Medical Refusal,take,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Medical Refusal,won,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Neglect,eat,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Neglect,meal,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Neglect,skipp,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Neglect,stopp,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Object Insertion,ass,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Object Insertion,my,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Object Insertion,shove,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Object Insertion,toothbrush,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Object Insertion,up,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,and,11,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,my,10,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,in,5,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,the,5,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,myself,4,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,of,4,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,them,4,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,destroy,3,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,it,3,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other,up,3,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,ibuprofen,3,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,of,3,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,000mg,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,and,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,drug,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,exercis,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,milligram,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,opiate,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,out,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Methods,pass,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Self-Harm Methods,purg,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,kill,5,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,myself,4,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,waterfall,4,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,yeet,4,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,of,3,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,and,2,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,electric,2,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,everyone,2,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,off,2,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Other Violent Methods,people,2,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Overdose,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Overdose,cough,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Overdose,med,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Overdose,pain,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Overdose,syrup,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,benadryl,4,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,pill,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,bleach,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,bottle,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,drink,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,drug,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,hard,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,lysol,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,of,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning,on,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning/Overdose of prescription medication,cupboard,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning/Overdose of prescription medication,full,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning/Overdose of prescription medication,of,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Poisoning/Overdose of prescription medication,pill,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,my,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,finger,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,from,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,hurt,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,into,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,it,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,presse,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,skin,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Pressure,where,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Harm Methods/Extreme dieting,calorie,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Harm Methods/Extreme dieting,cut,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Harm Methods/Extreme dieting,extreme,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Harm Methods/Purging,purg,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,eat,4,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,my,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,ache,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,alot,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,body,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,dead,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,don,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,dont,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,even,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation,if,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,burn,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,eat,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,umbearable,2,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,calorie,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,calory,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,day,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,every,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,exercise,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,food,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-Starvation/Restriction of Food and Exercise,force,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,for,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,fuck,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,leav,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,no,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,room,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,week,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-imposed Restriction,your,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-induced vomiting,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-induced vomiting,throw,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-induced vomiting,up,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Self-induced vomiting,vomit,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sexual Assault,grope,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,blade,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,knitt,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,mother,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,my,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,neck,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,needle,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,pointy,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,stabb,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,stick,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Sharp Objects,to,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Shooting,in,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Shooting,leg,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Shooting,myself,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Shooting,shoot,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,pick,3,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,skin,3,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,my,2,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,away,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,dead,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,off,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,peel,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Skin Picking,pp,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Stabbing,chest,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Stabbing,in,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Stabbing,myself,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Stabbing,stabb,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Stabbing,the,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,myself,21,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,starv,15,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,eat,13,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,day,9,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,starve,7,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,and,5,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,less,5,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,meal,5,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,to,5,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation,of,3,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,eat,4,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,day,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,stop,2,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,than,2,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,and,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,anorexia,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,anorexic,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,bite,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,bulimic,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Starvation/Deliberate food deprivation,calory,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Substance Abuse,drug,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,my,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,myself,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,chest,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,chok,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,necktie,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,on,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,sitt,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,strangl,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation,with,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,my,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,breath,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,cut,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,earphone,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,enough,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,of,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,the,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,tighten,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,to,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Suffocation/Other,wire,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Unspecified Self-Harm,harm,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others/Unspecified Self-Harm,self,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others:  Poisoning: Overdose of prescription medication,alcoholic,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others:  Poisoning: Overdose of prescription medication,bottle,1,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others:  Poisoning: Overdose of prescription medication,perscription,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,and,2,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,burn,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,bag,1,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,by,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,cold,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,deodorant,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,fill,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,get,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,head,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Burning,hit,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,cut,10,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,cutt,7,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,myself,6,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,harm,4,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,my,4,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,self,4,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,and,3,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,her,3,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,herself,3,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching,on,3,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,my,4,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,cut,3,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,arm,2,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,cutt,2,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,on,2,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,glass,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,in,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,knife,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,myself,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Cutting and Scratching: Using sharp objects to injure skin,random,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,the,4,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,my,2,2
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,of,2,3
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,and,1,4
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,arm,1,5
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,bathtub,1,6
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,beat,1,7
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,crap,1,8
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,head,1,9
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting,hitt,1,10
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting: Punching,furniture,1,1
"Methods or actions of Suicide, Self Harm or harming others",Methods or actions of Self-Harm or harming others: Hitting: Punching,kick,1,2
